iter	Passed	Remaining
0	143	143560
1	144	71974
2	144	48165
3	145	36293
4	146	29167
5	147	24389
6	147	20978
7	148	18426
8	149	16441
9	150	14864
10	150	13573
11	151	12488
12	152	11572
13	153	10792
14	153	10110
15	154	9525
16	155	8992
17	156	8520
18	156	8098
19	157	7718
20	158	7377
21	158	7063
22	159	6778
23	160	6520
24	161	6281
25	161	6057
26	162	5852
27	163	5661
28	163	5483
29	164	5316
30	165	5161
31	165	5015
32	166	4874
33	166	4741
34	167	4614
35	167	4493
36	168	4380
37	168	4272
38	169	4169
39	169	4072
40	170	3981
41	170	3893
42	171	3809
43	171	3729
44	172	3652
45	172	3579
46	173	3509
47	173	3442
48	174	3379
49	174	3316
50	175	3257
51	175	3200
52	176	3145
53	176	3091
54	176	3040
55	177	2990
56	177	2943
57	178	2897
58	178	2853
59	179	2811
60	179	2769
61	180	2729
62	180	2690
63	181	2651
64	181	2615
65	182	2579
66	182	2544
67	183	2510
68	183	2477
69	184	2445
70	184	2414
71	185	2384
72	185	2356
73	186	2327
74	186	2300
75	186	2272
76	187	2246
77	187	2221
78	188	2196
79	188	2171
80	189	2148
81	189	2125
82	190	2100
83	190	2079
84	191	2058
85	191	2037
86	192	2017
87	192	1997
88	193	1979
89	193	1961
90	194	1943
91	195	1925
92	195	1907
93	196	1890
94	196	1873
95	197	1856
96	197	1840
97	198	1824
98	198	1808
99	199	1792
100	199	1777
101	200	1761
102	200	1746
103	201	1732
104	201	1718
105	202	1704
106	202	1690
107	203	1677
108	203	1664
109	204	1651
110	204	1638
111	205	1625
112	205	1612
113	205	1600
114	206	1588
115	206	1576
116	207	1564
117	207	1553
118	208	1542
119	208	1532
120	209	1521
121	209	1510
122	210	1499
123	210	1489
124	211	1479
125	211	1469
126	212	1458
127	212	1448
128	213	1439
129	213	1429
130	214	1420
131	214	1410
132	215	1401
133	215	1392
134	215	1383
135	216	1375
136	216	1366
137	217	1358
138	217	1349
139	218	1341
140	218	1333
141	219	1324
142	219	1316
143	220	1308
144	220	1301
145	221	1293
146	221	1286
147	222	1279
148	222	1272
149	223	1265
150	223	1258
151	224	1251
152	224	1244
153	225	1237
154	225	1230
155	226	1224
156	226	1217
157	227	1210
158	227	1204
159	228	1197
160	228	1190
161	228	1183
162	229	1177
163	229	1171
164	230	1165
165	230	1159
166	231	1153
167	231	1147
168	232	1141
169	232	1135
170	233	1130
171	233	1124
172	234	1118
173	234	1113
174	234	1107
175	235	1102
176	235	1096
177	236	1091
178	236	1086
179	237	1081
180	237	1076
181	238	1071
182	238	1065
183	239	1060
184	239	1055
185	240	1051
186	240	1046
187	241	1041
188	241	1037
189	242	1032
190	242	1027
191	243	1023
192	243	1019
193	244	1014
194	244	1010
195	245	1006
196	245	1002
197	246	998
198	247	994
199	247	990
200	248	986
201	248	982
202	249	978
203	249	974
204	250	971
205	251	967
206	251	964
207	252	960
208	253	957
209	253	953
210	254	950
211	254	947
212	255	943
213	255	939
214	256	936
215	256	932
216	257	929
217	258	925
218	258	922
219	259	918
220	259	915
221	260	912
222	260	908
223	261	905
224	261	901
225	262	898
226	263	895
227	263	892
228	264	889
229	264	886
230	265	883
231	266	880
232	266	877
233	267	874
234	267	871
235	268	868
236	268	864
237	269	861
238	269	858
239	270	855
240	270	852
241	271	849
242	271	846
243	272	843
244	272	840
245	273	837
246	273	834
247	274	831
248	274	828
249	275	825
250	275	822
251	276	820
252	276	817
253	277	814
254	277	811
255	278	808
256	278	806
257	279	803
258	279	800
259	280	797
260	280	795
261	281	792
262	281	789
263	282	787
264	282	784
265	283	782
266	283	779
267	284	776
268	284	774
269	285	771
270	285	769
271	286	766
272	287	764
273	287	761
274	288	759
275	288	756
276	289	754
277	289	751
278	290	749
279	290	747
280	290	744
281	291	742
282	291	739
283	292	737
284	293	735
285	293	732
286	294	731
287	294	728
288	295	726
