iter	Passed	Remaining
0	98	98606
1	99	49608
2	100	33252
3	100	25061
4	101	20146
5	101	16874
6	102	14529
7	103	12775
8	103	11412
9	104	10316
10	104	9424
11	105	8681
12	106	8056
13	106	7516
14	107	7045
15	107	6631
16	108	6268
17	108	5943
18	109	5656
19	110	5403
20	110	5170
21	111	4957
22	112	4761
23	112	4585
24	113	4419
25	113	4268
26	114	4124
27	115	3994
28	115	3870
29	116	3756
30	116	3656
31	117	3556
32	118	3461
33	118	3374
34	119	3288
35	120	3214
36	120	3141
37	121	3071
38	121	3004
39	122	2940
40	123	2881
41	123	2822
42	124	2766
43	124	2712
44	125	2660
45	125	2611
46	126	2563
47	126	2518
48	127	2475
49	128	2434
50	128	2393
51	129	2359
52	130	2323
53	130	2287
54	131	2253
55	131	2220
56	132	2187
57	132	2156
58	133	2126
59	134	2100
60	134	2074
61	135	2049
62	136	2025
63	136	2002
64	137	1978
65	138	1954
66	138	1931
67	139	1909
68	139	1887
69	140	1867
70	141	1846
71	141	1828
72	148	1890
73	149	1873
74	150	1855
75	151	1837
76	151	1818
77	152	1799
78	152	1783
79	153	1766
80	154	1748
81	154	1731
82	155	1712
83	155	1696
84	156	1682
85	156	1667
86	157	1651
87	157	1635
88	158	1621
89	159	1607
90	159	1596
91	160	1586
92	161	1574
93	162	1562
94	162	1550
95	163	1539
96	164	1528
97	164	1518
98	165	1507
99	166	1497
100	167	1487
101	167	1478
102	168	1468
103	169	1458
104	169	1448
105	170	1437
106	171	1427
107	171	1417
108	172	1407
109	172	1398
110	173	1389
111	174	1382
112	175	1374
113	175	1366
114	176	1358
115	177	1350
116	177	1341
117	178	1334
118	179	1327
119	179	1318
120	180	1311
121	181	1304
122	181	1296
123	182	1290
124	183	1282
125	183	1275
126	184	1266
127	184	1259
128	185	1252
129	186	1245
130	186	1238
131	187	1232
132	188	1225
133	188	1218
134	189	1212
135	189	1205
136	190	1199
137	191	1193
138	191	1186
139	192	1180
140	192	1175
141	193	1168
142	194	1162
143	194	1156
144	195	1150
145	195	1144
146	196	1139
147	196	1133
148	197	1127
149	198	1122
150	198	1116
151	199	1112
152	200	1107
153	200	1103
154	201	1098
155	202	1093
156	202	1088
157	203	1083
158	203	1078
159	204	1073
160	204	1068
161	205	1064
162	206	1059
163	207	1056
164	207	1051
165	208	1046
166	208	1042
167	209	1037
168	210	1033
169	210	1028
170	211	1024
171	212	1022
172	213	1018
173	213	1015
174	214	1011
175	215	1007
176	215	1003
177	216	1000
178	217	996
179	218	994
180	218	990
181	219	987
182	220	983
183	221	981
184	221	977
185	222	974
186	223	971
187	224	968
188	225	966
189	226	963
190	226	960
191	227	957
192	228	954
193	228	950
194	229	947
195	230	944
196	230	941
197	231	938
198	232	935
199	233	932
200	233	929
201	234	925
202	235	922
203	235	919
204	236	917
205	237	914
206	238	912
207	239	910
208	239	906
209	240	904
210	240	900
211	241	897
212	241	894
213	242	890
214	243	888
215	244	886
216	244	883
217	245	881
218	246	878
219	246	875
220	247	872
221	248	869
222	248	866
223	249	864
224	250	862
225	251	860
226	252	858
227	252	855
228	253	852
229	253	849
230	254	847
231	255	844
232	255	841
233	256	839
234	257	836
235	257	834
236	258	832
237	259	830
238	259	827
239	260	824
240	261	822
241	262	820
242	262	818
243	266	825
244	267	823
245	267	820
246	268	817
247	268	815
248	269	813
249	270	810
250	270	808
251	271	806
252	272	803
253	272	801
254	273	798
255	273	796
256	274	794
257	275	792
258	276	790
259	276	788
260	277	786
261	278	783
262	279	782
263	279	780
264	280	778
265	281	776
266	282	774
267	282	772
268	283	770
269	284	768
270	284	766
271	285	764
272	286	762
273	286	760
274	287	758
275	288	756
276	289	755
277	290	753
278	290	751
279	291	749
280	291	746
281	292	745
282	293	743
283	293	741
284	294	739
285	295	737
286	296	736
287	296	734
288	297	732
289	298	730
290	298	728
291	299	726
292	300	724
293	301	723
294	301	721
295	302	719
296	303	717
297	303	715
298	304	713
299	305	711
